"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-1054337.05241859,1268293.62768283,-0.831303595165788,0.406656900139473
"2","bids$Engr.Est",0.870059050635059,0.0133820074463246,65.0170801447302,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000649821704084997
"3","bids$quantile_2",631366.710897286,1582909.92419148,0.39886458556369,0.690359862881154
"4","bids$quantile_3",1372950.26223309,1600797.16293138,0.857666601381868,0.391961721265864
"5","bids$quantile_4",1465516.56173264,1607110.16178726,0.911895523143754,0.362770280447767
"6","bids$quantile_5",3847777.11470821,1822672.13346991,2.1110637750208,0.0358371268903053
"7","bids$Format2Other",1919717.75383978,1039037.28021718,1.84759275763283,0.0659343184370381
